Channel Name or Channel Handle,Video Title,Video URL,Transcript Link,Publish Date,Video Length,Views,Likes,Comments,Transcript Filename in Github,BatchID,,,,,Date Generated:
Khan Academy Computing,Creating a table and inserting data | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=kEGlpSmeSiA,creatingatableandinsertingdatacomputerprogrammingkhanacademy.txt,11/8/14,3:44,237394,991,59,creatingatableandinsertingdatacomputerprogrammingkhanacademy.txt,3,,,,,Thu 7/18/2024
Khan Academy Computing,Querying the table | Intro to SQL: Querying and managing data | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=_a4k3ssyY5E,queryingthetableintrotosqlqueryingandmanagingdatacomputerprogrammingkhanacademy.txt,11/8/14,2:09,93842,274,11,queryingthetableintrotosqlqueryingandmanagingdatacomputerprogrammingkhanacademy.txt,3,,,,,Thu 7/18/2024
LearnCode.academy,"Web Development Tutorial for Beginners (#1) - How to build webpages with HTML, CSS, Javascript",https://www.youtube.com/watch?v=3JluqTojuME,webdevelopmenttutorialforbeginners2basiccsshowtobuildawebsitewithhtmlcss.txt,10/21/13,14:08,4828065,57638,3276,webdevelopmenttutorialforbeginners1howtobuildwebpageswithhtmlcssjavascript.txt,3,,,,,Thu 7/18/2024
LearnCode.academy,Github Tutorial For Beginners - Github Basics for Mac or Windows & Source Control Basics,https://www.youtube.com/watch?v=0fKg7e37bQE,githubtutorialforbeginnersgithubbasicsformacorwindowssourcecontrolbasics.txt,1/16/14,18:54,2991548,28018,1517,githubtutorialforbeginnersgithubbasicsformacorwindowssourcecontrolbasics.txt,3,,,,,Thu 7/18/2024
LearnCode.academy,Web Development Tutorial for Beginners (#2) - Basic CSS - How to build a website with HTML & CSS,https://www.youtube.com/watch?v=gBi8Obib0tw,webdevelopmenttutorialforbeginners1howtobuildwebpageswithhtmlcssjavascript.txt,10/23/13,15:48,1674482,16497,1576,webdevelopmenttutorialforbeginners2basiccsshowtobuildawebsitewithhtmlcss.txt,3,,,,,Thu 7/18/2024
LearnCode.academy,REACT JS TUTORIAL #1 - Reactjs Javascript Introduction & Workspace Setup,https://www.youtube.com/watch?v=MhkGQAoc7bc,reactjstutorial1reactjsjavascriptintroductionworkspacesetup.txt,2/2/16,10:19,1463468,5640,468,reactjstutorial1reactjsjavascriptintroductionworkspacesetup.txt,3,,,,,Thu 7/18/2024
LearnCode.academy,Javascript Tutorial For Beginners - Free JS Course - Web Development Tutorial,https://www.youtube.com/watch?v=fGdd9qNwQdQ,javascripttutorialforbeginnersfreejscoursewebdevelopmenttutorial.txt,2/24/15,8:09,852005,6616,529,javascripttutorialforbeginnersfreejscoursewebdevelopmenttutorial.txt,3,,,,,Thu 7/18/2024
LearnCode.academy,Javascript Tutorial For Beginners - #3 Javascript Functions Tutorial,https://www.youtube.com/watch?v=AY6X5jZZ_JE,javascripttutorialforbeginners3javascriptfunctionstutorial.txt,2/24/15,13:49,543323,4635,504,javascripttutorialforbeginners3javascriptfunctionstutorial.txt,3,,,,,Thu 7/18/2024
LearnCode.academy,Javascript Tutorial For Beginners - #4 Javascript Arrays & Loops,https://www.youtube.com/watch?v=orAS-MBh5f4,javascripttutorialforbeginners4javascriptarraysloops.txt,2/24/15,14:14,407058,3442,331,javascripttutorialforbeginners4javascriptarraysloops.txt,3,,,,,Thu 7/18/2024
LearnCode.academy,Javascript Selectors - Javascript Tutorial for Beginners With Examples,https://www.youtube.com/watch?v=W3EK4MlZW4g,javascriptselectorsjavascripttutorialforbeginnerswithexamples.txt,4/21/15,11:19,267799,1988,162,javascriptselectorsjavascripttutorialforbeginnerswithexamples.txt,3,,,,,Thu 7/18/2024
LearnCode.academy,HTML Tutorial for Beginners,https://www.youtube.com/watch?v=RjHflb-QgVc,htmltutorialforbeginners.txt,8/1/18,11:58,536032,7368,210,htmltutorialforbeginners.txt,3,,,,,Thu 7/18/2024
Codecademy,Intro to Programming: Loops,https://www.youtube.com/watch?v=wxds6MAtUQ0,introtoprogrammingloops.txt,7/26/19,1:41,241669,2534,50,introtoprogrammingloops.txt,3,,,,,Thu 7/18/2024
Codecademy,Learn Python 3: Tutorial for Beginners (Part 1),https://www.youtube.com/watch?v=13433v7AKEc,learnpython3tutorialforbeginnerspart1.txt,1/26/23,51:17:00,144709,738,27,learnpython3tutorialforbeginnerspart1.txt,3,,,,,Thu 7/18/2024
Codecademy,Learn JavaScript: Tutorial for Beginners (Part 1),https://www.youtube.com/watch?v=uh4gG7LbDPQ,learnjavascripttutorialforbeginnerspart1.txt,1/26/23,55:35:00,78773,713,17,learnjavascripttutorialforbeginnerspart1.txt,3,,,,,Thu 7/18/2024
Codecademy,Learn Python 3: Tutorial for Beginners (Part 2),https://www.youtube.com/watch?v=zBkejr9w6cg,learnpython3tutorialforbeginnerspart2.txt,1/26/23,50:52:00,29956,134,5,learnpython3tutorialforbeginnerspart2.txt,3,,,,,Thu 7/18/2024
Codecademy,Create your first HTML/CSS project,https://www.youtube.com/watch?v=wzWmZYi4qMg,createyourfirsthtmlcssproject.txt,7/1/19,19:16,241622,2762,81,createyourfirsthtmlcssproject.txt,3,,,,,Thu 7/18/2024
Codecademy,Learn JavaScript: Tutorial for Beginners (Part 2),https://www.youtube.com/watch?v=1RYDBz2Hwls,learnjavascripttutorialforbeginnerspart2.txt,1/26/23,49:04:00,30240,204,9,learnjavascripttutorialforbeginnerspart2.txt,3,,,,,Thu 7/18/2024
Codecademy,Introduction to JavaScript Variables,https://www.youtube.com/watch?v=cRi9Xa4jBws,introductiontojavascriptvariables.txt,5/4/23,3:51,2904,30,2,introductiontojavascriptvariables.txt,3,,,,,Thu 7/18/2024
Codecademy,Introduction to Logging on Android,https://www.youtube.com/watch?v=ezoAGY9Z_HU,introductiontologgingonandroid.txt,11/22/21,5:55,8626,55,2,introductiontologgingonandroid.txt,3,,,,,Thu 7/18/2024
Codecademy,CS101 #5: Loops,https://www.youtube.com/watch?v=5OfHEQcyQTI,cs1015loops.txt,9/29/20,61:20:00,3231,80,6,cs1015loops.txt,3,,,,,Thu 7/18/2024
Scratch Team,Create a Sprite with the Scratch Paint Editor | Tutorial,https://www.youtube.com/watch?v=9C_wblf4FIE,createaspritewiththescratchpainteditortutorial.txt,9/9/23,2:16,57529,302,47,createaspritewiththescratchpainteditortutorial.txt,3,,,,,Thu 7/18/2024
Scratch Team,Bring Your Drawings Into Scratch | Tutorial,https://www.youtube.com/watch?v=XXsRVPdESqk,bringyourdrawingsintoscratchtutorial.txt,9/9/23,2:18,38361,433,67,bringyourdrawingsintoscratchtutorial.txt,3,,,,,Thu 7/18/2024
Scratch Team,Remix and Re-imagine Scratch Sprites | Tutorial,https://www.youtube.com/watch?v=bN3vW8jmDAc,remixandreimaginescratchspritestutorial.txt,9/9/23,2:16,149260,376,102,remixandreimaginescratchspritestutorial.txt,3,,,,,Thu 7/18/2024
Scratch Team,How to Draw Backdrops in Scratch | Tutorial,https://www.youtube.com/watch?v=CQ4SldacxG4,howtodrawbackdropsinscratchtutorial.txt,8/18/20,3:29,304733,2523,263,howtodrawbackdropsinscratchtutorial.txt,3,,,,,Thu 7/18/2024
Scratch Team,"Sounds in Scratch: Add, Record, and Use Text to Speech Blocks | Tutorial",https://www.youtube.com/watch?v=7f9_vjl9yC8,soundsinscratchaddrecordandusetexttospeechblockstutorial.txt,9/9/23,4:18,33666,254,33,soundsinscratchaddrecordandusetexttospeechblockstutorial.txt,3,,,,,Thu 7/18/2024
Scratch Team,"Create Your Own Asset Pack, Part 1: What Is a Scratch Asset Pack & Why Should I Make One? | Tutorial",https://www.youtube.com/watch?v=F0cCg0YOh8o,createyourownassetpackpart1whatisascratchassetpackwhyshouldimakeonetutorial.txt,1/22/24,3:07,9387,108,14,createyourownassetpackpart1whatisascratchassetpackwhyshouldimakeonetutorial.txt,3,,,,,Thu 7/18/2024
Scratch Team,"Create Your Own Asset Pack, Part 2: Tips and Tricks for Creating an Asset in Scratch | Tutorial",https://www.youtube.com/watch?v=kWgPOkbHdOY,createyourownassetpackpart2tipsandtricksforcreatinganassetinscratchtutorial.txt,1/22/24,7:48,9878,120,37,createyourownassetpackpart2tipsandtricksforcreatinganassetinscratchtutorial.txt,3,,,,,Thu 7/18/2024
Scratch Team,"Create Your Own Asset Pack, Part 3: Remixing and Using Assets in Scratch | Tutorial",https://www.youtube.com/watch?v=hLLWoenXIgo,createyourownassetpackpart3remixingandusingassetsinscratchtutorial.txt,1/22/24,3:38,4886,58,9,createyourownassetpackpart3remixingandusingassetsinscratchtutorial.txt,3,,,,,Thu 7/18/2024
Scratch Team,Turtle Graphics: Using Pen Blocks in Scratch | Tutorial,https://www.youtube.com/watch?v=AeTVJ7H38BQ,turtlegraphicsusingpenblocksinscratchtutorial.txt,3/11/24,6:33,17072,213,74,turtlegraphicsusingpenblocksinscratchtutorial.txt,3,,,,,Thu 7/18/2024
Scratch Team,Conditional Statements: Make Interactive Projects (Part 1)| Tutorial,https://www.youtube.com/watch?v=STMtgEsi2Ik,conditionalstatementsmakeinteractiveprojectspart1tutorial.txt,5/13/24,4:33,7149,114,32,conditionalstatementsmakeinteractiveprojectspart1tutorial.txt,3,,,,,Thu 7/18/2024
KidsCanCode,Godot 4: 3D Character Controller,https://www.youtube.com/watch?v=AW3rT-7J8ag,godot43dcharactercontroller.txt,9/30/23,14:51,28425,658,73,godot43dcharactercontroller.txt,3,,,,,Thu 7/18/2024
KidsCanCode,Learning Godot 3.0: Your First Game Part 1,https://www.youtube.com/watch?v=uPoLKQG0gmw,learninggodot30yourfirstgamepart1.txt,11/13/17,8:24,117346,1319,128,learninggodot30yourfirstgamepart1.txt,3,,,,,Thu 7/18/2024
KidsCanCode,Procedural Generation in Godot: Dungeon Generation (part 1),https://www.youtube.com/watch?v=G2_SGhmdYFo,proceduralgenerationingodotdungeongenerationpart1.txt,12/5/18,14:36,82735,1621,79,proceduralgenerationingodotdungeongenerationpart1.txt,3,,,,,Thu 7/18/2024
KidsCanCode,Godot 101 - Part 1: Introduction to Godot (For Godot 2.1!),https://www.youtube.com/watch?v=gHA4M2cqWb0,godot101part1introductiontogodotforgodot21.txt,2/16/17,13:51,78164,1546,116,godot101part1introductiontogodotforgodot21.txt,3,,,,,Thu 7/18/2024
KidsCanCode,Pygame Platformer Part 2: Player Movement,https://www.youtube.com/watch?v=8LRI0RLKyt0,pygameplatformerpart2playermovement.txt,2/1/16,21:46,61467,779,273,pygameplatformerpart2playermovement.txt,3,,,,,Thu 7/18/2024
KidsCanCode,Godot 101 - Part 2: Scripting,https://www.youtube.com/watch?v=hi2yiY-zNxQ,godot101part2scripting.txt,2/18/17,11:55,38100,875,84,godot101part2scripting.txt,3,,,,,Thu 7/18/2024
KidsCanCode,Godot 101 - Part 6: Area-based Collisions,https://www.youtube.com/watch?v=RZyiy9bbeNE,godot101part6areabasedcollisions.txt,3/2/17,11:02,38570,591,79,godot101part6areabasedcollisions.txt,3,,,,,Thu 7/18/2024
KidsCanCode,Godot 101 - Part 3: Scripting (continued),https://www.youtube.com/watch?v=wkDiwOAqfuI,godot101part3scriptingcontinued.txt,2/19/17,12:39,23256,599,85,godot101part3scriptingcontinued.txt,3,,,,,Thu 7/18/2024
