Channel Name (HANDLE),Video Title,Video URL,Transcript Link,,,,,,,BatchID,,,,,,,
programmingwithmosh,The FASTEST Way to Learn to Code & Get a Job,The FASTEST Way to Learn to Code & Get a Job (youtube.com),thefastestwaytolearncodinggetajob.txt,,,,,,,,,,,,,,
JennyslecturesCSIT,Fastest Way to Start Coding| 21 Day Beginner Coding Challenge |Learn Coding For Beginners,Fastest Way to Start Coding| 21 Day Beginner Coding Challenge |Learn Coding For Beginners (youtube.com),fastestwaytostartcoding21daybeginnercodingchallengelearncodingforbeginners.txt,,,,,,,,,,,,,,
freecodecamp,From Construction Worker to Teaching MILLIONS of Developers with John Smilga [Podcast #122],From Construction Worker to Teaching MILLIONS of Developers with John Smilga [Podcast #122] (youtube.com),need transcript ,*2 hr video,most popular videos are 2hrs+,,,,,,,,,,,,
LearnCode.academy,How to code in 2022 - From zero to career-level,How to code in 2022 - From zero to career-level (youtube.com),howtocodein2022fromzerotocareerlevel.txt,,,,,,,,,,,,,,
Codeorg,BBC's The Human Component: Code.org,BBC's The Human Component: Code.org (youtube.com),bbcsthehumancomponentcodeorg.txt,,,,,,,,,,,,,,
Codeorg,Equity in Computer Science Education ,Equity in Computer Science Education (youtube.com),equityincomputerscienceeducation.txt,,,,,,,,,,,,,,
Codeacademy,If You Could Do Anything,If You Could Do Anything (youtube.com),ifyoucoulddoanything.txt,,,,,,,,,,,,,,
khanacademycomputing9067,What is Programming? | Intro to JS: Drawing & Animation | Computer programming | Khan Academy,What is Programming? | Intro to JS: Drawing & Animation | Computer programming | Khan Academy (youtube.com),whatisprogrammingintrotojsdrawinganimationcomputerprogrammingkhanacademy.txt,,,,,,,,,,,,,,
Kidscancode,Learning to Code with Python: Lesson 1.1 - What is Programming?,Learning to Code with Python: Lesson 1.1 - What is Programming? (youtube.com),learningtocodewithpythonlesson11whatisprogramming.txt,,,,,,,,,,,,,,
GirlsWhoCode,Girls Who Code Presents: GIRLS WHO CODE GIRLS,The Hunger Games (youtube.com),girlswhocodepresentsgirlswhocodegirls.txt,,,,,,,,,,,,,,
