term,log_odds,tfd
hi,0.24036908751040198,0.0002128293534244243
guy,-0.2569212450182664,0.0017026348273953943
name,0.6370962171788229,0.007278763887115311
jammy,6.066587678614684,4.256587068488486e-05
today,1.5047046443637655,0.002915762141914613
im,-0.16574512703599492,0.010918145830672967
teaching,0.9733829571614172,0.00025539522410930913
ep,6.242866920952676,0.0005746392542459456
one,0.6901942680185263,0.024390243902439025
install,0.4920149604829009,0.0010215808964372365
python,1.36682581426452,0.0047035287106797765
visual,0.21133384727536889,0.0003618099008215213
studio,0.3509707463114802,0.0003618099008215213
necessary,-1.1245348216679596,2.128293534244243e-05
factor,-0.1474029452587131,8.513174136976971e-05
write,-1.7644659792926833,0.00031924403013663645
program,0.004690785253083065,0.001191844379176776
video,-0.3054834372399762,0.00227727408164134
showing,0.8960058792828458,0.000744902736985485
first,0.3894132059833477,0.00683182224492402
step,-0.8046998510861287,0.0003830928361639637
course,-0.6081045385740614,0.0009364491550674669
go,0.48428864647087294,0.01821819265313072
browser,-0.463668001664003,0.00031924403013663645
search,0.9404485548735608,0.0018090495041076064
see,-0.006231752302809139,0.010556335929851446
org,0.6836228380063627,4.256587068488486e-05
click,0.991886664209186,0.006321031796705402
welcome,0.28850018826694906,0.0005107904482186183
youre,-0.4656716038211971,0.0021921423402715703
website,-0.3058113879215452,0.0004256587068488486
downloads,1.103178116484657,0.00010641467671221215
window,-0.6366353911053656,0.0004043757715064062
got,0.005762494066927733,0.002319839952326225
download,1.1825627823536136,0.0012556931852041034
good,0.3339633186040895,0.0030434597539692673
ta,1.7844878731607898,0.0005107904482186183
open,0.3210770419120527,0.002128293534244243
come,0.47217249369285963,0.0028093474652024007
second,0.04790177927003873,0.0018516153747924913
smart,-0.31175465989882334,8.513174136976971e-05
screen,-0.6560370706538866,0.0005533563189035032
cant,0.9912629085915298,0.0021921423402715703
reached,-0.40151354296702946,2.128293534244243e-05
check,-0.6291779424297539,0.001042863831779679
internet,-0.8775607544170297,6.384880602732728e-05
wait,1.8086292603264529,0.003213723236708807
yep,-0.5184540782141286,0.00019154641808198186
page,-0.37974845437699684,0.001191844379176776
make,0.3384604564830638,0.008087515430128124
sure,0.7451253385092071,0.0038309283616396374
add,0.361722770853736,0.005320733835610607
yes,0.134291787173406,0.0009790150257523518
might,0.0709827409510262,0.0016600689567105094
take,-1.1138684844916515,0.001042863831779679
almost,0.15292935729698376,0.000297961094794194
done,0.4840527727729231,0.0021495764695866853
also,-0.42989055364927364,0.0032350061720512495
newest,1.2874641855031546,4.256587068488486e-05
latest,-0.3937638030389584,6.384880602732728e-05
version,-0.7833494323957124,0.00034052696547907886
think,-0.18765674199908206,0.002915762141914613
since,0.9179698766409831,0.0018303324394500489
several,-1.2730702596837749,2.128293534244243e-05
successful,-1.1922156317743835,2.128293534244243e-05
close,0.1917399171173774,0.0008300344783552547
there,0.47844809636783864,0.004490699357255353
probably,-0.1232600032458585,0.0009790150257523518
bit,0.17088332675270246,0.0027454986591750733
type,0.6267085546000754,0.005682543736432129
code,-0.2787434992869723,0.0034904013961605585
pretend,4.466078396924885,0.002383688758353552
print,1.778049450200458,0.008917549908483377
isnt,-0.7193347084357871,0.000148980547397097
testing,-0.4561040686899239,0.000148980547397097
something,0.353379299274097,0.0052143191588983956
hello,0.9141820782841991,0.0017026348273953943
enter,1.630834480142736,0.003894777167666965
test,-0.583362171754936,0.0007236198016430426
guess,-0.11719941781812931,0.000595922189588388
hyphen,-0.7537925208824521,4.256587068488486e-05
idle,0.4940715899521535,6.384880602732728e-05
let,0.4694222639427251,0.026859064402162347
link,-0.18026613511155473,0.0008938832843825821
next,0.039542522033785305,0.0028093474652024007
accept,-0.5272176010950619,6.384880602732728e-05
location,-2.4235387879392674,2.128293534244243e-05
data,-0.6467698539699774,0.001979312986847146
id,-2.0746395901008254,0.00019154641808198186
create,-0.19184853203297825,0.003256289107393692
desktop,-0.7540696395429711,6.384880602732728e-05
icon,-1.2199259606138104,0.00012769761205465457
thats,-0.09330246453859313,0.0067679734388966925
working,-1.8356238211665923,0.0002128293534244243
really,0.14165831906964008,0.004873792193419316
quick,0.10479014373710312,0.00044694164219129105
last,0.41138007243653063,0.0017877665687651642
time,0.04652796184883202,0.004831226322734431
kind,-0.2872449677525682,0.0023624058230111095
slow,0.11913307250314446,0.00012769761205465457
finish,0.9190045397744857,0.0005320733835610607
ive,-2.881367000092984,6.384880602732728e-05
little,0.5523190945208032,0.004341718809858256
clip,-0.14690869095481732,2.128293534244243e-05
dont,0.38533881563948763,0.00761929085259439
dare,1.3378896730133174,2.128293534244243e-05
look,0.33626023985689124,0.006278465926020517
secret,0.1896822030581487,0.000148980547397097
delete,1.1312218339470796,0.00227727408164134
left,-0.024262361998278317,0.0011705614438343337
show,0.13027275998589485,0.0025965181117779765
work,0.03106708273582296,0.0033839867194483462
comment,0.14902705264696262,0.0009364491550674669
youve,-1.348474219179176,0.00012769761205465457
set,0.31701667192037175,0.005086621546843741
already,-0.0007465540519761722,0.0014472396032860853
anything,0.4175057906199031,0.0015749372153407398
anymore,1.3274442784276788,0.0008087515430128124
stuff,0.31152219768969847,0.0018090495041076064
need,-0.26713136468518084,0.005427148512322819
parenthesis,1.8394113643794687,0.001979312986847146
middle,1.2059716925314319,0.0007874686076703699
could,-0.3273859512796632,0.0022559911462988976
single,0.5631564349140197,0.0012982590558889883
quote,1.2204312599859817,0.0008300344783552547
quotation,2.418930940324702,0.0006810539309581577
mark,0.9165405699434922,0.0007236198016430426
world,0.4750860054391334,0.0009577320904099094
exclamation,2.1683544064651357,0.00044694164219129105
point,0.25265537856285536,0.0026603669178053035
run,-0.03809500878072941,0.002830630400544843
nice,0.17382821597843712,0.0011279955731494488
automatically,-0.4033364926540264,0.00023411228876686673
save,0.2338231940196808,0.0017026348273953943
play,0.7991464971711554,0.0015536542799982974
say,-0.16293627536511426,0.0070446515983484444
unsaved,3.199109740584372,2.128293534244243e-05
unsafe,2.114631962851167,2.128293534244243e-05
though,0.20862457549313682,0.0005533563189035032
gone,0.9564227891713951,0.00044694164219129105
commenting,2.8785931675479484,0.00019154641808198186
line,0.1853154509176335,0.002575235176435534
either,0.12750686603474964,0.0005746392542459456
hashtag,2.4219255268250457,0.0003618099008215213
displaying,0.4041846240447015,8.513174136976971e-05
text,-0.11551311006718246,0.0016813518920529519
playing,-0.0784718383868332,0.000148980547397097
remember,0.06334981846565708,0.0009790150257523518
put,1.1345648523662877,0.00832162771889499
beside,0.6390305226188779,2.128293534244243e-05
even,0.13810154843910566,0.0017664836334227217
side,-0.6037921168925905,0.00044694164219129105
know,-0.190753698206507,0.005427148512322819
multiple,-0.1070330677010966,0.0005107904482186183
three,1.0349793708992057,0.006086919507938535
two,0.7506271236012513,0.009407057421359553
wont,0.7877789750839229,0.0009364491550674669
theyre,0.09202265601436375,0.0011279955731494488
however,1.653742404935312,0.00227727408164134
miss,-0.13668659268202907,6.384880602732728e-05
itll,1.1768277264052602,0.0014685225386285277
syntax,-0.4476917366878096,0.00019154641808198186
error,-0.15777602196581383,0.001191844379176776
mean,0.11652296692666876,0.00297961094794194
wrong,0.8881278664708795,0.0010002979610947943
fix,-0.08328116167773655,0.00031924403013663645
back,-0.2286857925073887,0.002617801047120419
