term,log_odds,tfd
hi,1.1841670052096418,0.0005660330924274616
welcome,0.1709130268591727,0.0004593891764628674
back,-0.24775913019921783,0.0025758607394525067
code,1.3282638229699075,0.017292721142566508
monkey,5.396003335878172,0.012444524655253033
tutorial,-0.7998927080377979,0.0003035249915915374
today,1.9104183865944284,0.004323180285641627
learn,0.7568968235840718,0.0019606073781183093
object,-0.7589107213190078,0.001025422268890329
use,-0.32628541297539204,0.004536468117570816
also,0.5759711739952427,0.008843241646910197
two,-0.6334703691844904,0.002362572907523318
new,-0.16348910350005477,0.0025758607394525067
way,0.16927498446333308,0.0043149769074905045
make,-0.430097615366461,0.0037571471932141658
turn,1.4233377608999924,0.00214928507559413
walk,1.194153915873391,0.0005496263361252164
backwards,1.2158312607592208,0.00016406756302245263
helpful,0.6097357294228702,0.0003199317478937827
trick,0.7621512819603297,0.00019688107562694317
ready,0.7384741999287223,0.0007054905209965464
go,-0.20717718175232233,0.009138563260350613
everything,-0.14683015306502623,0.001205896588215027
scene,-0.5995740490892859,0.00016406756302245263
interact,-0.06947438671393981,9.844053781347159e-05
bush,3.1589456522589034,9.844053781347159e-05
bridge,2.492107932847786,0.0002707114789870469
banana,4.619673217682402,0.003855587731027637
turtle,2.2364158835905537,0.0007629141680544048
set,-1.0709139953322122,0.001271523613424008
action,-0.41932074864395724,0.0003199317478937827
example,-0.6573265236987469,0.0013043371260284984
step,1.4705021966897804,0.0037817573276675335
called,-1.022328214958639,0.0008203378151122633
function,-1.2696728810107132,0.0013453540167841116
input,-2.006533394430338,0.00015586418487133002
add,-0.5936799713950838,0.002050844537780658
argument,-1.461615472730188,0.00015586418487133002
let,-0.9663990976157989,0.006406838336026776
talk,0.7267744736750851,0.0018457600840025923
three,-0.01588812899598055,0.0021328783192918845
first,-0.11832018677804876,0.004118095831863561
left,0.03987534564574219,0.0012551168571217628
already,0.025911985099421175,0.0014930148235043192
know,0.43475729309466454,0.010139375394787573
second,-0.6037478315567187,0.0009679986218324706
using,-0.028079985588225168,0.003010639781462006
degree,0.14104100362434546,0.00019688107562694317
minus,-2.3322033500045527,6.562702520898106e-05
would,0.4210862350801114,0.006111516722586361
many,0.5848868948596461,0.001985217512571677
ask,0.7831958462896049,0.0010090155125880838
ruler,4.825799076174434,0.00044298242016062214
secretly,2.098923360860663,1.6406756302245265e-05
protractor,6.352898068674647,9.844053781347159e-05
measure,1.165966428595979,0.00021328783192918843
distance,1.2517246342918031,0.0007711175462055274
show,0.18493609724384322,0.002748131680626082
number,-0.49070048262429994,0.002100064806687394
angle,-0.33741319768640865,0.00018047431932469792
order,-0.7217875099880315,0.0005988466050319522
face,0.030848891874899514,0.00021328783192918843
third,-0.002794189232365346,0.0003691520168005185
final,-0.8033741236183921,0.00010664391596459421
dont,-0.21973456556499946,0.004167316100770297
need,-0.37000498153522077,0.004905620134371334
calculates,0.15249292043044899,8.203378151122633e-06
direction,0.6406842150274958,0.0007629141680544048
another,-0.28731465394728856,0.0015504384705621775
name,-0.8349913558094895,0.001673489142829017
useful,-1.3731788459746528,9.844053781347159e-05
skill,1.6150803453728584,0.0014355911764464607
video,-1.1139211888459437,0.0010172188907392064
walking,1.341950128022773,0.00016406756302245263
remember,0.32480314552586337,0.0012797269915751307
tell,0.6551949596065635,0.0015012182016554416
forward,0.13928173865666763,0.00039376215125388634
type,-0.9525957706054644,0.0011730830756105364
wanted,0.38443811497886204,0.0010910492940993102
read,-0.48502867641663955,0.0004511857983117448
computer,1.3840380803863301,0.003125487075577723
context,-1.617133509890908,5.742364705785843e-05
want,-0.2635041368307855,0.008293615310784982
cool,-0.9132390611025887,0.00041837228570725427
hover,-0.7247527120287656,6.562702520898106e-05
stage,0.8654765052236847,0.00031172836974266004
see,0.1641745234895913,0.012518355058613137
appear,-0.11037136904871027,9.844053781347159e-05
next,-0.06569267648656676,0.0025348438486968933
click,0.6819142963990236,0.004634908655384287
added,0.07770042569368431,0.0005250162016718485
editor,-0.6005332367726254,0.00017227094117357528
come,-0.2542873329137218,0.001361760773086357
handy,0.7413204389264076,0.00010664391596459421
feel,1.1028625162549337,0.0014191844201442154
typing,0.14403643389497736,0.00019688107562694317
thank,1.3424146365144893,0.0024199965545811763
watching,-0.17565449404426337,0.0003363385041960279
time,0.36136505522751905,0.006620126167955964
practice,0.2875763834373854,0.00036094863864939583
turning,2.3670888931872702,0.0004511857983117448
real,0.3108680136019519,0.0006152533613341974
life,0.276962762377397,0.00042657566385837685
careful,-1.070211027850214,1.6406756302245265e-05
good,0.27704656412764556,0.002879385731044044
luck,2.1149081487771837,0.0002050844537780658
yearly,1.8013373332919367,2.4610134453367896e-05
cost,-1.3651955354144996,4.922026890673579e-05
additional,0.6410160690594217,0.0002707114789870469
seat,3.2650363919864156,0.00044298242016062214
subscription,3.4132335077444846,0.001739116168037998
carrot,1.6016901793725729,6.562702520898106e-05
coriander,6.797583889936093,8.203378151122633e-06
thinner,0.9657014126525763,8.203378151122633e-06
get,-0.04349013703210085,0.007694768705753029
much,0.2022041536294093,0.002387183041976686
toyo,6.797583889936093,8.203378151122633e-06
perot,5.111184936365865,1.6406756302245265e-05
competition,2.938961661235062,0.00042657566385837685
took,0.7145373829281275,0.0003691520168005185
place,0.305115930709777,0.0010582357814948196
last,0.03470844469745351,0.0012305067226683949
year,1.421841954799781,0.0028219620839861855
december,2.313341924419199,0.00016406756302245263
student,3.61132958304194,0.018613465024897254
six,0.053196053551949354,0.0005250162016718485
twelve,0.9352448711271665,4.101689075561316e-05
old,0.2110281970918502,0.0003199317478937827
solved,1.9799941159967678,0.0002543047226848016
neverbeforeseen,5.698971601267983,8.203378151122633e-06
challenge,3.1415571779332048,0.007981886941042321
help,1.1596104006166468,0.002830165462137308
catch,1.280294927897982,0.0005988466050319522
writing,0.23687010592445037,0.0005086094453696032
event,0.3395519266982077,0.0010664391596459423
toyohashi,7.308409513702084,1.6406756302245265e-05
university,0.6407975269072347,0.00013125405041796212
technology,1.2056253509377812,0.0004839993109162353
japan,2.299998914627939,5.742364705785843e-05
nitze,6.797583889936093,8.203378151122633e-06
elementary,3.1831277161922698,0.00024610134453367896
school,2.4905178985289544,0.0025594539831502615
met,1.204225232894265,0.00013125405041796212
ciona,6.797583889936093,8.203378151122633e-06
israel,5.78694037421394,0.0003855587731027637
