channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,Unnamed: 9
Bro Code,Learn Python MAP() in 3 minutes! 🗺️,https://www.youtube.com/watch?v=OXfcmRFne0Q,7/15/24,3:50,2949,171,18,learnpythonmapin3minutes.txt,2
Bro Code,Learn Python LAMBDA in 6 minutes! 🚮,https://www.youtube.com/watch?v=IljPHDyBRog,7/14/24,6:50,2567,111,15,learnpythonlambdain6minutes.txt,2
Bro Code,"READ FILES using Python! (.txt, .json, .csv) 🔍",https://www.youtube.com/watch?v=GWBWQnWNWBI,7/13/24,6:56,2295,91,16,readfilesusingpythontxtjsoncsv.txt,2
Bro Code,"WRITE FILES using Python!  (.txt, .json, .csv) ✍",https://www.youtube.com/watch?v=1IYrmTTKOoI,7/12/24,13:47,3068,131,14,writefilesusingpythontxtjsoncsv.txt,2
Bro Code,Learn Python FILE DETECTION in 7 minutes! 🕵️‍♂️,https://www.youtube.com/watch?v=EReeJSaU0Og,7/11/24,7:02,3257,171,30,learnpythonfiledetectionin7minutes.txt,2
Bro Code,Python Object Oriented Programming Full Course 🐍,https://www.youtube.com/watch?v=IbMDCwVm63M,7/7/24,2:05:50,18784,686,79,pythonobjectorientedprogrammingfullcourse.txt,2
Bro Code,Python MAGIC METHODS are easy! 🌟,https://www.youtube.com/watch?v=NwjSP1_WEfE,7/6/24,13:36,4268,193,27,pythonmagicmethodsareeasy.txt,2
Bro Code,Learn Python CLASS METHODS in 6 minutes! 🏫,https://www.youtube.com/watch?v=g-qRKZD3FgE,7/5/24,6:46,2876,94,21,learnpythonclassmethodsin6minutes.txt,2
Bro Code,Learn Python STATIC METHODS in 5 minutes! ⚡,https://www.youtube.com/watch?v=GZYWTm7JoWs,7/4/24,5:57,1822,87,12,learnpythonstaticmethodsin5minutes.txt,2
Bro Code,Learn Python MEMBERSHIP OPERATORS in 8 minutes! 🔎,https://www.youtube.com/watch?v=OJ5E7VLsZQM,7/3/24,8:50,2656,99,15,learnpythonmembershipoperatorsin8minutes.txt,2
Bro Code,Learn Python ITERABLES in 6 minutes! 📃,https://www.youtube.com/watch?v=VL_g3LjsFqs,7/1/24,6:30,4081,152,10,learnpythoniterablesin6minutes.txt,2
Bro Code,Learn Python EXCEPTION HANDLING in 5 minutes! 🚦,https://www.youtube.com/watch?v=V_NXT2-QIlE,6/29/24,5:49,4296,182,23,learnpythonexceptionhandlingin5minutes.txt,2
Bro Code,Learn Python DECORATORS in 7 minutes! 🎊,https://www.youtube.com/watch?v=U-G-mSd4KAE,6/27/24,7:22,6600,276,29,learnpythondecoratorsin7minutes.txt,2
Bro Code,Learn Python DUCK TYPING in 4 minutes! 🦆,https://www.youtube.com/watch?v=Qe03kCuTMoU,6/25/24,4:19,4670,161,16,learnpythonducktypingin4minutes.txt,2
Bro Code,Learn Python POLYMORPHISM in 8 minutes! 🎭,https://www.youtube.com/watch?v=tHN8I_4FIt8,6/23/24,8:06,5616,206,21,learnpythonpolymorphismin8minutes.txt,2
