channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
CS Dojo,Complete Data Science Career Guide with Former Facebook Data Scientist Joma,https://www.youtube.com/watch?v=mxc4cquvRUk,4/26/19,22:25,119929,3810,178,completedatasciencecareerguidewithformerfacebookdatascientistjoma.txt,3
CS Dojo,How to GET STUFF DONE When You Don’t Feel Like It!,https://www.youtube.com/watch?v=GuYUlIDFDO0,3/21/19,6:02,359723,18233,677,howtogetstuffdonewhenyoudontfeellikeit.txt,3
CS Dojo,Best Resources for Learning Machine Learning? What Is ML Anyway? Q&A with ML Engineers!,https://www.youtube.com/watch?v=3EoRJR9kxAw,3/6/19,12:01,143523,4911,242,bestresourcesforlearningmachinelearningwhatismlanywayqawithmlengineers.txt,3
CS Dojo,What Is a Quantum Computer? Explained with a Simple Example,https://www.youtube.com/watch?v=HdSmIUuGf-I,2/26/19,21:46,146676,3406,277,whatisaquantumcomputerexplainedwithasimpleexample.txt,3
CS Dojo,5 Problem Solving Tips for Cracking Coding Interview Questions,https://www.youtube.com/watch?v=GBuHSRDGZBY,2/10/19,19:12,1312385,27467,1024,5problemsolvingtipsforcrackingcodinginterviewquestions.txt,3
CS Dojo,5 Debugging Tips Every Developer Should Know | Build a Startup #7,https://www.youtube.com/watch?v=K6WGRBhacq8,12/22/18,11:27,185256,5307,358,5debuggingtipseverydevelopershouldknowbuildastartup7.txt,3
CS Dojo,Coding Twitter Integration & I Won A Startup Competition! (VLOG) | Build a Startup #6,https://www.youtube.com/watch?v=jDn7kwBYnyE,12/4/18,16:01,121130,2282,229,codingtwitterintegrationiwonastartupcompetitionvlogbuildastartup6.txt,3
CS Dojo,Announcing Our First Meetup (in Toronto) + Discord Server!,https://www.youtube.com/watch?v=uS2YcF404kM,11/28/18,1:52,24068,561,92,announcingourfirstmeetupintorontodiscordserver.txt,3
CS Dojo,Using Dynamic Programming to Solve a Real-World Problem! | Build a Startup #5,https://www.youtube.com/watch?v=4SP_AY7GGxw,11/24/18,25:37:00,119271,2558,158,usingdynamicprogrammingtosolvearealworldproblembuildastartup5.txt,3
CS Dojo,How To Create A Twitter Bot With Python | Build a Startup #4,https://www.youtube.com/watch?v=W0wWwglE1Vc,11/10/18,35:48:00,472014,9188,584,howtocreateatwitterbotwithpythonbuildastartup4.txt,3
CS Dojo,Making a To-Do App with Django | Web Development Tutorial | Build a Startup #3,https://www.youtube.com/watch?v=ovql0Ui3n_I,11/2/18,35:46:00,291849,4838,318,makingatodoappwithdjangowebdevelopmenttutorialbuildastartup3.txt,3
CS Dojo,Making a Hello World App with Django | Web Development | Build a Startup #2,https://www.youtube.com/watch?v=h7rvyDK70FA,10/23/18,13:33,257421,4510,312,makingahelloworldappwithdjangowebdevelopmentbuildastartup2.txt,3
CS Dojo,Watch me build a real startup with Python and JavaScript | Web Development | Build A Startup #1,https://www.youtube.com/watch?v=UyQn0BhVqNU,10/18/18,18:34,1479699,29288,1132,watchmebuildarealstartupwithpythonandjavascriptwebdevelopmentbuildastartup1.txt,3
CS Dojo,I'm back from my vacation! Plus a few announcements.,https://www.youtube.com/watch?v=_jgI-j7WLRU,10/13/18,1:37,49063,2013,340,imbackfrommyvacationplusafewannouncements.txt,3
CS Dojo,Best laptops for programming? How to get a job at Google? - And other FAQ’s!,https://www.youtube.com/watch?v=8ULXqEx6KQc,8/18/18,8:35,1271332,35029,1650,bestlaptopsforprogramminghowtogetajobatgoogleandotherfaqs.txt,3
CS Dojo,6 Python Exercise Problems for Beginners - from CodingBat (Python Tutorial #14),https://www.youtube.com/watch?v=lx7oqZ7Nl3k,8/9/18,20:16,779280,15820,479,6pythonexerciseproblemsforbeginnersfromcodingbatpythontutorial14.txt,3
CS Dojo,Python books for beginners? What Python projects to work on? | 2 Python Beginner FAQ’s!,https://www.youtube.com/watch?v=-1j0_SVaAJM,8/4/18,4:23,283157,9939,358,pythonbooksforbeginnerswhatpythonprojectstoworkon2pythonbeginnerfaqs.txt,3
CS Dojo,How To Use Sets in Python (Python Tutorial #13),https://www.youtube.com/watch?v=2u_ZExcNBzA,8/3/18,8:13,201318,3409,302,howtousesetsinpythonpythontutorial13.txt,3
CS Dojo,I'll be taking some time off from this channel.,https://www.youtube.com/watch?v=SNao-iAamkI,7/28/18,0:55,38224,1498,420,illbetakingsometimeofffromthischannel.txt,3
CS Dojo,Facebook Coding Interview Question - How Many Ways to Decode This Message?,https://www.youtube.com/watch?v=qli-JCrSwuk,7/14/18,16:36,502122,7823,544,facebookcodinginterviewquestionhowmanywaystodecodethismessage.txt,3
CS Dojo,How I Learned English (didn’t speak it until I was 18),https://www.youtube.com/watch?v=0OAu6V1akIU,7/4/18,6:23,160809,8837,523,howilearnedenglishdidntspeakituntiliwas18.txt,3
CS Dojo,"Intro to Data Analysis / Visualization with Python, Matplotlib and Pandas | Matplotlib Tutorial",https://www.youtube.com/watch?v=a9UrKTVEeZA,6/11/18,22:01,1470442,31227,805,introtodataanalysisvisualizationwithpythonmatplotlibandpandasmatplotlibtutorial.txt,3
